bugid ,TEST CASE ID ,FUNCTIONALITY ID,DEFECTSUUMERY,Defect Description,Reproduced Step,TEST DETA ,DEFECT TYPE,BUG_SEVIARITY,PRIORITY,OP_SY,ASSIGN_TO,BUG_STATUS,RESOIUTION,SHORT_DES,Tester Name,status  ,,,,
1,10,110,Check new luma yoga collection sub option Style,After Click Luma new yoga collection Sub Option Style When i Selecte Any Style Option Its Show slected Style or not ,1. Enter Link   2. Click On new yoga Collection  3. Click Sub Option style ,_,Functionality,major,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,When User Selecte Any Style Option  Its not Show Selected Style Option,geeta,open,,,,
2,10,107,Check new luma yoga collection sub option Categories,After Click Luma new yoga collection Sub Option Categories When i Selecte Any Style Option Its Show slected Style or not ,1. Enter Lin  2. Click On new yoga Collection 3. Click Sub Option Categories,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,i Selecte Any   Colore Option  Its not Show Selected  Color   Option,geeta,open,,,,
3,14,107,Check new luma yoga collection sub option Color,After Click Luma new yoga collection Sub Option Color When i Selecte Any Colore Option Its Show slected Color or not ,1. Enter Link  2. Click On new yoga Collection 3. Click Sub Option Color  4. Select any Color  5.click more information ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,When User  Selecte Any   Material Option Its not show selected,geeta,open,,,,
4,15,107,Check new luma yoga collection sub option Material,After Click Luma new yoga collection Sub Option Material When i Selecte Any Material Option Its Show slected Material or not,1. Enter Link  2. Click On new yoga Collection    3. Click Sub Option material     4. Select any Material   5.click more information ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,After  aFTER Click Luma new yoga collection Sub Option   Activity When  User Selecte Any Activityl Optionts its  not Show Selected    Activity Option,geeta,open,,,,
5,16,107,Check new luma yoga collection sub option Activity,After Click Luma new yoga collection Sub Option Activity When i Selecte Any Activityl Option Its Show slected Activityl or not,1. Enter Link   2. Click On new yoga Collection   3. Click Sub Option Activity     4. Select any Activity   5.click more information ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,When  user Selecte Any Features in Any Option Its not Show Selected     Features Option,geeta,open,,,,
6,19,107,Check new luma yoga collection sub option Features,After Click Luma new yoga collection Sub Option Features When i Selecte Any Features in Any Option Its Show slected or not,1. Enter Link   2. Click On new yoga Collection                                                                                                                                                                                     3. Click Sub Option Features                                                                                                                                                                                                           4. Select any Features                                                                                                                                                                                                     5.click more information ,_,_,major,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,After Click Luma new yoga collection Sub Option   Features When User Selecte Any Features in Any Option Its not show Selected     Features Option,geeta,open,,,,
7,20,107,Check new luma yoga collection sub option Gender,After Click Luma new yoga collection Sub Option Gender When i Selecte Any Gender category Option Its Show slected or not,1. Enter Link     2. Click On new yoga Collection                                                                                                                                                                                              3. Click Sub Option Gender                                                                                                                                                                                                      4. Select any Gender Ctegory                                                                                                                                                                                                 5.click more information ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,After Click Luma new yoga collection Sub Option  Gender When i Selecte Any  Gender category Option Its not show selected opyion,geeta,open,,,,
8,23,108,Check 20%off luma pants,"After click on the '20% off Luma pants' option, it opens properly or not and it display the discount on the actual product.or not",1.Enter Link                                                                                                                                                                                             2. 20%off luma pants,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"After  click on the '20% off Luma pants' option, it doesn't display the discount on the actual product.",geeta,open,,,,
9,5,203,Check incorrect Email id with password,When I Enter Email id and password and click sigh in its show The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,1.Enter link                                                                                                                   2. Click on SIgh in                                                                                                  3.Click on Email id                                                                                     4. click on Password ,_,Functionality,critical,High,Windows,manisha12@gmail.com,ASSIGNED,---,When  user Enter Email id and  password and click sigh in its show The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,geeta,open,,,,
10,7,205,Check Correct Email Id With Password,When i enter Correct Email id And Password it login or not,1.Enter link                                                                                                          2. Click on SIgh in                                                                                            3.Click on Email id                                                                                                4. click on Password ,_,_,critical,High,Windows,manisha12@gmail.com,ASSIGNED,---,When  user enter Correct Email id And Password it login,geeta,open,,,,
11,2,302,Check Personal Information First Name,"When I enter any number for the first name in the personal information section, error is displayed or not",1. Enter                                                                                                               2. Click on Create Account                                                                                        3. Check First Name ,_,Functionality,major,High,Windows,manisha12@gmail.com,ASSIGNED,---,"When user  enter any number for the first name in the personal information section,No error Display",geeta,open,,,,
12,3,303,Check Personal Information Last Name,"When I enter any number for the Last name in the personal information section, error is displayed or not",1. Enter                                                                                                               2. Click on Create Account                                                                                        3. Check last Name ,_,_,critical,High,Windows,manisha12@gmail.com,ASSIGNED,---,user enter any number for the first name in the personal information section its  No error Display,geeta,open,,,,
13,7,406,"Check full zip Tshirt quantity
items","When I click on 'Full Zip, only 6 products are displayed, but the page below shows options for 12, 24, and 36 images per page.",1.ENter link 2. Click in Whats new 3. check in women 4. Click on hoodies &sweet Shirt 5. CLick on Shopping option 6. check style ,_,Functionality,major,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on 'Full Zip, only 6 products are displayed, but the page below shows options for 12, 24, and 36 images per page.",geeta,open,,,,
14,8,406,Check style Sweatshirt,"When I click on 'Style' in the sweatshirts section, the images do not display correctly.""





",1.ENter link 2. Click in Whats new 3. check in women 4. Click on hoodies &sweet Shirt 5. CLick on Shopping option 6. check style sweatshirt,_,_,critical,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on 'Style' in the sweatshirts section, the images do not display correctly.""",geeta,open,,,,
